true_delta_rho,n_datasets,mean_delta_hat,sd_delta_hat,mean_lower_bound,p_c1,p_c2,power_c1_c2,p_c3,p_c4,power_confirm
0.550000,2000,0.573330,0.218331,0.295960,0.982500,0.840500,0.840500,0.949500,0.992000,0.834000
0.600000,2000,0.608611,0.205972,0.344577,0.989000,0.874000,0.874000,0.970000,0.995000,0.871500
0.650000,2000,0.658416,0.187298,0.409765,0.995500,0.915500,0.915500,0.988000,0.999000,0.913000
0.700000,2000,0.702973,0.172630,0.475492,0.999000,0.947500,0.947500,0.993500,0.997500,0.946500
0.800000,2000,0.748288,0.155685,0.557880,1.000000,0.982000,0.982000,0.998500,1.000000,0.982000
0.900000,2000,0.746928,0.160481,0.557238,1.000000,0.981000,0.981000,0.998500,0.999500,0.981000
