true_delta_rho,n_datasets,mean_delta_spec_exclusion,mean_delta_clean_exclusion,raw_spec_minus_clean,sample_size_artifact,net_leakage_bias,se_net_leakage_bias,bias_direction,retained_leaked_diffs_b1,retained_leaked_diffs_b3
0.000000,40,0.088393,0.029582,0.058811,-0.004803,0.063615,0.023538,toward CONFIRM,,2022
0.150000,40,0.166466,0.095592,0.070874,-0.004184,0.075057,0.024500,toward CONFIRM,,2022
